SELECT
    ROUND(psfFlux, -4) AS bucket,
    COUNT(*) AS COUNT
FROM DeepSource
GROUP BY bucket;
+--------+----------+
| bucket | COUNT    |
|     -390000 |         70 |
|     -380000 |         98 |
|     -370000 |         88 |
|     -360000 |         79 |
|     -350000 |         99 |
|     -340000 |         89 |
|     -330000 |         87 |
|     -320000 |        102 |
|     -310000 |         98 |
|     -300000 |        115 |
|     -290000 |        103 |
|     -280000 |        138 |
|     -270000 |        156 |
|     -260000 |        158 |
|     -250000 |        132 |
|     -240000 |        151 |
|     -230000 |        166 |
|     -220000 |        191 |
|     -210000 |        218 |
|     -200000 |        200 |
|     -190000 |        217 |
|     -180000 |        251 |
|     -170000 |        268 |
|     -160000 |        275 |
|     -150000 |        355 |
|     -140000 |        368 |
|     -130000 |        457 |
|     -120000 |        440 |
|     -110000 |        548 |
|     -100000 |        660 |
|      -90000 |        839 |
|      -80000 |        975 |
|      -70000 |       1271 |
|      -60000 |       1700 |
|      -50000 |       2334 |
|      -40000 |       3393 |
|      -30000 |       6040 |
|      -20000 |      13079 |
|      -10000 |      68062 |
|           0 | 3092989457 |
|          -0 |  563960812 |
|       10000 |   34600782 |
|       20000 |   11285642 |
|       30000 |    6395660 |
|       40000 |    4344298 |
|       50000 |    3222362 |
|       60000 |    2530276 |
|       70000 |    2078224 |
|       80000 |    1754867 |
|       90000 |    1513101 |
|      100000 |    1326178 |
|      110000 |    1152163 |
|      120000 |    1032120 |
|      130000 |     936145 |
|      140000 |     839549 |
|      150000 |     758712 |
|      160000 |     686394 |
|      170000 |     626513 |
|      180000 |     580850 |
|      190000 |     528748 |
|      200000 |     487995 |
|      210000 |     451089 |
|      220000 |     418826 |
|      230000 |     392959 |
|      240000 |     368953 |
|      250000 |     344997 |
|      260000 |     320449 |
|      270000 |     299900 |
|      280000 |     281268 |
|      290000 |     262410 |
|      300000 |     246834 |
|      310000 |     232284 |
|      320000 |     218641 |
|      330000 |     204416 |
|      340000 |     192972 |
|      350000 |     181634 |
|      360000 |     171517 |
|      370000 |     161490 |
|      380000 |     152651 |
|      390000 |     143524 |
|      400000 |     135554 |
|      410000 |     127663 |
|      420000 |     120680 |
|      430000 |     114155 |
|      440000 |     108448 |
|      450000 |     103077 |
|      460000 |      96959 |
|      470000 |      92204 |
|      480000 |      87700 |
|      490000 |      82781 |
|      500000 |      78605 |
|      510000 |      73570 |
|      520000 |      70073 |
|      530000 |      66441 |
|      540000 |      63312 |
|      550000 |      60274 |
|      560000 |      57049 |
|      570000 |      54910 |
|      580000 |      52264 |
|      590000 |      49448 |
|      600000 |      46970 |
|      610000 |      44984 |
|      620000 |      42793 |
|      630000 |      40876 |
|      640000 |      38893 |
|      650000 |      37066 |
|      660000 |      35299 |
|      670000 |      33930 |
|      680000 |      32305 |
|      690000 |      30852 |
|      700000 |      29304 |
|      710000 |      28005 |
|      720000 |      26804 |
|      730000 |      25731 |
|      740000 |      24446 |
|      750000 |      23536 |
|      760000 |      22226 |
|      770000 |      21189 |
|      780000 |      20333 |
|      790000 |      19267 |
|      800000 |      18718 |
|      810000 |      17732 |
|      820000 |      17083 |
|      830000 |      16070 |
|      840000 |      15609 |
|      850000 |      15075 |
|      860000 |      14291 |
|      870000 |      13924 |
|      880000 |      13153 |
|      890000 |      12571 |
|      900000 |      12339 |
|      910000 |      11708 |
|      920000 |      11226 |
|      930000 |      10858 |
|      940000 |      10397 |
|      950000 |      10050 |
|      960000 |       9788 |
|      970000 |       9383 |
|      980000 |       9009 |
|      990000 |       8667 |
|     1000000 |       8271 |
|     1010000 |       8054 |
|     1020000 |       7864 |
|     1030000 |       7336 |
|     1040000 |       7191 |
|     1050000 |       6803 |
|     1060000 |       6611 |
|     1070000 |       6356 |
|     1080000 |       6209 |
|     1090000 |       5896 |
|     1100000 |       5692 |
|     1110000 |       5632 |
|     1120000 |       5325 |
|     1130000 |       5140 |
|     1140000 |       4911 |
|     1150000 |       4846 |
|     1160000 |       4596 |
|     1170000 |       4472 |
|     1180000 |       4349 |
|     1190000 |       4149 |
|     1200000 |       4226 |
|     1210000 |       3938 |
|     1220000 |       3868 |
|     1230000 |       3753 |
|     1240000 |       3544 |
|     1250000 |       3518 |
|     1260000 |       3440 |
|     1270000 |       3310 |
|     1280000 |       3193 |
|     1290000 |       3159 |
|     1300000 |       2962 |
|     1310000 |       2822 |
|     1320000 |       2854 |
|     1330000 |       2854 |
|     1340000 |       2653 |
|     1350000 |       2661 |
|     1360000 |       2537 |
|     1370000 |       2425 |
|     1380000 |       2462 |
|     1390000 |       2368 |
|     1400000 |       2346 |
|     1410000 |       2188 |
|     1420000 |       2142 |
|     1430000 |       2043 |
|     1440000 |       2092 |
|     1450000 |       1991 |
|     1460000 |       1920 |
|     1470000 |       1869 |
|     1480000 |       1828 |
|     1490000 |       1810 |
|     1500000 |       1724 |
|     1510000 |       1650 |
|     1520000 |       1706 |
|     1530000 |       1642 |
|     1540000 |       1528 |
|     1550000 |       1475 |
|     1560000 |       1470 |
|     1570000 |       1402 |
|     1580000 |       1385 |
|     1590000 |       1374 |
|     1600000 |       1330 |
|     1610000 |       1303 |
|     1620000 |       1311 |
|     1630000 |       1206 |
|     1640000 |       1237 |
|     1650000 |       1139 |
|     1660000 |       1127 |
|     1670000 |       1188 |
|     1680000 |       1115 |
|     1690000 |       1140 |
|     1700000 |       1084 |
|     1710000 |       1055 |
|     1720000 |        976 |
|     1730000 |        951 |
|     1740000 |        918 |
|     1750000 |        896 |
|     1760000 |        947 |
|     1770000 |        940 |
|     1780000 |        922 |
|     1790000 |        860 |
|     1800000 |        799 |
|     1810000 |        819 |
|     1820000 |        765 |
|     1830000 |        716 |
|     1840000 |        785 |
|     1850000 |        784 |
|     1860000 |        731 |
|     1870000 |        731 |
|     1880000 |        738 |
|     1890000 |        733 |
|     1900000 |        656 |
|     1910000 |        648 |
|     1920000 |        647 |
|     1930000 |        630 |
|     1940000 |        585 |
|     1950000 |        622 |
|     1960000 |        572 |
|     1970000 |        630 |
|     1980000 |        557 |
|     1990000 |        574 |
|     2000000 |        528 |
|     2010000 |        529 |
|     2020000 |        522 |
|     2030000 |        533 |
|     2040000 |        472 |
|     2050000 |        527 |
|     2060000 |        512 |
|     2070000 |        508 |
|     2080000 |        455 |
|     2090000 |        463 |
|     2100000 |        453 |
|     2110000 |        439 |
|     2120000 |        440 |
|     2130000 |        381 |
|     2140000 |        414 |
|     2150000 |        422 |
|     2160000 |        389 |
|     2170000 |        394 |
|     2180000 |        402 |
|     2190000 |        341 |
|     2200000 |        334 |
|     2210000 |        351 |
|     2220000 |        326 |
|     2230000 |        341 |
|     2240000 |        318 |
|     2250000 |        368 |
|     2260000 |        343 |
|     2270000 |        308 |
|     2280000 |        295 |
|     2290000 |        272 |
|     2300000 |        287 |
|     2310000 |        321 |
|     2320000 |        286 |
|     2330000 |        284 |
|     2340000 |        259 |
|     2350000 |        232 |
|     2360000 |        247 |
|     2370000 |        256 |
|     2380000 |        263 |
|     2390000 |        271 |
|     2400000 |        240 |
|     2410000 |        255 |
|     2420000 |        207 |
|     2430000 |        219 |
|     2440000 |        227 |
|     2450000 |        219 |
|     2460000 |        224 |
|     2470000 |        185 |
|     2480000 |        191 |
|     2490000 |        198 |
|     2500000 |        180 |
|     2510000 |        195 |
|     2520000 |        168 |
|     2530000 |        201 |
